summary_date,site,co_davg,name,obs_count,units,basin,county_name,state,latitude,longitude 
2020-02-15,2899,0.686,Los Angeles-North Main Street,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.06653,-118.22676 
2020-02-16,2899,0.637,Los Angeles-North Main Street,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.06653,-118.22676 
2020-02-17,2899,0.684,Los Angeles-North Main Street,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.06653,-118.22676 
2020-02-18,2899,0.512,Los Angeles-North Main Street,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.06653,-118.22676 
2020-02-19,2899,0.449,Los Angeles-North Main Street,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.06653,-118.22676 
2020-02-20,2899,0.679,Los Angeles-North Main Street,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.06653,-118.22676 
2020-02-21,2899,0.461,Los Angeles-North Main Street,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.06653,-118.22676 
2020-02-22,2899,0.212,Los Angeles-North Main Street,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.06653,-118.22676 
2020-02-23,2899,0.355,Los Angeles-North Main Street,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.06653,-118.22676 
2020-02-24,2899,0.592,Los Angeles-North Main Street,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.06653,-118.22676 
2020-02-25,2899,0.741,Los Angeles-North Main Street,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.06653,-118.22676 
2020-02-26,2899,0.728,Los Angeles-North Main Street,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.06653,-118.22676 
2020-02-27,2899,0.686,Los Angeles-North Main Street,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.06653,-118.22676 
2020-02-28,2899,0.464,Los Angeles-North Main Street,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.06653,-118.22676 
2020-02-29,2899,0.399,Los Angeles-North Main Street,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.06653,-118.22676 
2020-03-01,2899,0.208,Los Angeles-North Main Street,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.06653,-118.22676 
2020-03-02,2899,0.350,Los Angeles-North Main Street,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.06653,-118.22676 
2020-03-03,2899,0.455,Los Angeles-North Main Street,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.06653,-118.22676 
2020-03-04,2899,0.497,Los Angeles-North Main Street,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.06653,-118.22676 
2020-03-05,2899,0.460,Los Angeles-North Main Street,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.06653,-118.22676 
2020-03-06,2899,0.465,Los Angeles-North Main Street,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.06653,-118.22676 
2020-03-07,2899,0.189,Los Angeles-North Main Street,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.06653,-118.22676 
2020-03-08,2899,0.268,Los Angeles-North Main Street,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.06653,-118.22676 
2020-03-09,2899,0.326,Los Angeles-North Main Street,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.06653,-118.22676 
2020-03-10,2899,0.218,Los Angeles-North Main Street,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.06653,-118.22676 
2020-03-11,2899,0.273,Los Angeles-North Main Street,23,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.06653,-118.22676 
2020-03-13,2899,0.299,Los Angeles-North Main Street,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.06653,-118.22676 
