summary_date,site,nox_davg,name,obs_count,units,basin,county_name,state,latitude,longitude 
2020-02-17,3502,0.011,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-18,3502,0.017,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-19,3502,0.022,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-20,3502,0.016,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-21,3502,0.016,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-22,3502,0.006,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-23,3502,0.009,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-24,3502,0.013,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-25,3502,0.013,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-26,3502,0.009,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-27,3502,0.014,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-28,3502,0.014,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-29,3502,0.014,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-03-01,3502,0.004,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-03-02,3502,0.003,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-03-03,3502,0.009,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-03-04,3502,0.020,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-03-05,3502,0.017,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-03-06,3502,0.022,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-03-07,3502,0.005,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-03-08,3502,0.005,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-03-09,3502,0.014,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-03-10,3502,0.009,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-03-11,3502,0.008,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-03-12,3502,0.012,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-03-13,3502,0.009,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-03-14,3502,0.004,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-03-15,3502,0.003,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-03-16,3502,0.008,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-03-17,3502,0.010,Santa Clarita,22,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-03-18,3502,0.013,Santa Clarita,18,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-03-19,3502,0.014,Santa Clarita,19,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-03-20,3502,0.012,Santa Clarita,20,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-03-21,3502,0.007,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-03-22,3502,0.005,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-03-23,3502,0.004,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-03-24,3502,0.006,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-03-25,3502,0.004,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-03-26,3502,0.007,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-03-27,3502,0.007,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-03-28,3502,0.007,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-03-29,3502,0.005,Santa Clarita,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
