summary_date,site,nox_davg,name,obs_count,units,basin,county_name,state,latitude,longitude 
2020-02-23,2849,0.006,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2020-02-24,2849,0.011,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2020-02-25,2849,0.007,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2020-02-26,2849,0.007,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2020-02-27,2849,0.008,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2020-02-28,2849,0.008,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2020-02-29,2849,0.008,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2020-03-01,2849,0.003,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2020-03-02,2849,0.002,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2020-03-03,2849,0.009,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2020-03-04,2849,0.013,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2020-03-05,2849,0.017,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2020-03-06,2849,0.020,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2020-03-07,2849,0.005,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2020-03-08,2849,0.004,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2020-03-09,2849,0.006,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2020-03-10,2849,0.005,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2020-03-11,2849,0.006,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2020-03-12,2849,0.009,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2020-03-13,2849,0.005,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2020-03-14,2849,0.004,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2020-03-15,2849,0.003,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2020-03-16,2849,0.005,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2020-03-17,2849,0.005,Glendora-Laurel,20,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2020-03-18,2849,0.006,Glendora-Laurel,20,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2020-03-19,2849,0.005,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2020-03-20,2849,0.004,Glendora-Laurel,23,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2020-03-21,2849,0.005,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2020-03-22,2849,0.003,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2020-03-23,2849,0.004,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2020-03-24,2849,0.004,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2020-03-25,2849,0.004,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2020-03-26,2849,0.004,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2020-03-27,2849,0.005,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2020-03-28,2849,0.004,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2020-03-29,2849,0.004,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2020-03-30,2849,0.006,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2020-04-01,2849,0.009,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038 
2020-04-02,2849,0.004,Glendora-Laurel,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.144370000000002,-117.85038
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
April 3, 2020 at 11:17:35
  
