summary_date,site,nox_davg,name,obs_count,units,basin,county_name,state,latitude,longitude 
2018-12-31,3818,0.051,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-01-01,3818,0.033,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-01-02,3818,0.146,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-01-03,3818,0.152,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-01-04,3818,0.170,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-01-05,3818,0.082,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-01-06,3818,0.036,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-01-07,3818,0.057,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-01-08,3818,0.119,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-01-09,3818,0.129,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-01-10,3818,0.119,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-01-11,3818,0.034,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-01-12,3818,0.036,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-01-13,3818,0.053,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-01-14,3818,0.034,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-01-15,3818,0.042,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-01-16,3818,0.019,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-01-17,3818,0.052,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-01-18,3818,0.070,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-01-19,3818,0.078,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-01-20,3818,0.043,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-01-21,3818,0.050,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-01-22,3818,0.136,Long Beach-Route 710 Near Road          ,21,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-01-23,3818,0.168,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-01-24,3818,0.178,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-01-25,3818,0.154,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-01-26,3818,0.128,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-01-27,3818,0.092,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-01-28,3818,0.148,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-01-29,3818,0.066,Long Beach-Route 710 Near Road          ,20,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-01-30,3818,0.043,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-02-01,3818,0.047,Long Beach-Route 710 Near Road          ,20,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-02-02,3818,0.010,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-02-03,3818,0.014,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-02-04,3818,0.038,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-02-05,3818,0.059,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-02-06,3818,0.084,Long Beach-Route 710 Near Road          ,18,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-02-07,3818,0.101,Long Beach-Route 710 Near Road          ,19,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-02-08,3818,0.097,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-02-09,3818,0.037,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-02-10,3818,0.022,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-02-11,3818,0.079,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-02-12,3818,0.104,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-02-13,3818,0.039,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-02-14,3818,0.039,Long Beach-Route 710 Near Road          ,22,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-02-15,3818,0.061,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-02-16,3818,0.026,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-02-17,3818,0.015,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-02-18,3818,0.042,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-02-19,3818,0.084,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-02-20,3818,0.069,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-02-21,3818,0.104,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-02-22,3818,0.089,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-02-23,3818,0.049,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-02-24,3818,0.045,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-02-25,3818,0.065,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-02-26,3818,0.060,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-02-27,3818,0.049,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-02-28,3818,0.026,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-03-01,3818,0.041,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-03-02,3818,0.011,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-03-03,3818,0.016,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-03-04,3818,0.055,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-03-05,3818,0.068,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-03-06,3818,0.030,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-03-07,3818,0.063,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-03-08,3818,0.043,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-03-09,3818,0.014,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
2019-03-10,3818,0.024,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,33.859662,-118.20070699999999 
