summary_date,site,ozone_davg,name,obs_count,units,basin,county_name,state,latitude,longitude 
2020-02-15,2899,0.018,Los Angeles-North Main Street,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.06653,-118.22676 
2020-02-16,2899,0.021,Los Angeles-North Main Street,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.06653,-118.22676 
2020-02-17,2899,0.018,Los Angeles-North Main Street,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.06653,-118.22676 
2020-02-18,2899,0.021,Los Angeles-North Main Street,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.06653,-118.22676 
2020-02-19,2899,0.024,Los Angeles-North Main Street,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.06653,-118.22676 
2020-02-20,2899,0.017,Los Angeles-North Main Street,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.06653,-118.22676 
2020-02-21,2899,0.023,Los Angeles-North Main Street,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.06653,-118.22676 
2020-02-22,2899,0.030,Los Angeles-North Main Street,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.06653,-118.22676 
2020-02-23,2899,0.021,Los Angeles-North Main Street,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.06653,-118.22676 
2020-02-24,2899,0.015,Los Angeles-North Main Street,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.06653,-118.22676 
2020-02-25,2899,0.015,Los Angeles-North Main Street,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.06653,-118.22676 
2020-02-26,2899,0.014,Los Angeles-North Main Street,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.06653,-118.22676 
2020-02-27,2899,0.012,Los Angeles-North Main Street,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.06653,-118.22676 
2020-02-28,2899,0.015,Los Angeles-North Main Street,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.06653,-118.22676 
2020-02-29,2899,0.022,Los Angeles-North Main Street,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.06653,-118.22676 
2020-03-01,2899,0.033,Los Angeles-North Main Street,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.06653,-118.22676 
2020-03-02,2899,0.024,Los Angeles-North Main Street,24,Parts Per Million ( ppm ),SC ,Los Angeles,CA,34.06653,-118.22676 
