summary_date,site,monitor,pm25_davg,name,obs_count,units,basin,county_name,state,latitude,longitude 
2020-01-01,3502,-,4.5,Santa Clarita,23,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-02,3502,-,3.3,Santa Clarita,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-03,3502,-,3.9,Santa Clarita,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-04,3502,-,4.6,Santa Clarita,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-05,3502,-,2.7,Santa Clarita,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-06,3502,-,-0.3,Santa Clarita,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-07,3502,-,1.0,Santa Clarita,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-08,3502,-,3.5,Santa Clarita,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-09,3502,-,3.0,Santa Clarita,22,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-10,3502,-,5.0,Santa Clarita,21,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-11,3502,-,6.9,Santa Clarita,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-12,3502,-,5.8,Santa Clarita,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-13,3502,-,8.7,Santa Clarita,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-14,3502,-,9.9,Santa Clarita,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-15,3502,-,13.3,Santa Clarita,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-16,3502,-,13.9,Santa Clarita,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-17,3502,-,2.3,Santa Clarita,20,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-18,3502,-,1.9,Santa Clarita,23,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-19,3502,-,-0.5,Santa Clarita,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-20,3502,-,8.1,Santa Clarita,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-21,3502,-,4.9,Santa Clarita,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-22,3502,-,4.3,Santa Clarita,22,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-23,3502,-,2.7,Santa Clarita,22,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-24,3502,-,1.4,Santa Clarita,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-25,3502,-,3.5,Santa Clarita,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-26,3502,-,14.7,Santa Clarita,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-27,3502,-,1.5,Santa Clarita,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-28,3502,-,1.8,Santa Clarita,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-29,3502,-,2.9,Santa Clarita,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-30,3502,-,3.0,Santa Clarita,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-01-31,3502,-,-0.1,Santa Clarita,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-01,3502,-,0.7,Santa Clarita,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-02,3502,-,5.6,Santa Clarita,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-03,3502,-,2.2,Santa Clarita,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-04,3502,-,1.5,Santa Clarita,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-05,3502,-,4.1,Santa Clarita,23,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-06,3502,-,6.8,Santa Clarita,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-07,3502,-,12.6,Santa Clarita,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-08,3502,-,15.7,Santa Clarita,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-09,3502,-,11.2,Santa Clarita,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
2020-02-10,3502,-,2.2,Santa Clarita,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.383369999999999,-118.52839 
