summary_date,site,monitor,pm25_davg,name,obs_count,units,basin,county_name,state,latitude,longitude 
2019-01-01,2420,-,3.4,Reseda,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-01-02,2420,-,4.4,Reseda,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-01-03,2420,-,9.9,Reseda,22,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-01-04,2420,-,19.3,Reseda,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-01-05,2420,-,21.6,Reseda,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-01-06,2420,-,9.1,Reseda,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-01-07,2420,-,8.4,Reseda,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-01-08,2420,-,12.8,Reseda,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-01-09,2420,-,13.1,Reseda,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-01-10,2420,-,9.0,Reseda,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-01-11,2420,-,19.0,Reseda,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-01-12,2420,-,5.7,Reseda,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
2019-01-13,2420,-,15.5,Reseda,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SC ,Los Angeles,CA,34.199199999999998,-118.53274999999999 
